City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Denpasar,ID,80.6,light rain,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
4,Namatanai,PG,80.15,moderate rain,-3.67,152.43,Namatanai Hotel
6,Emerald,AU,77.0,light rain,-23.53,148.17,The Irish Village
8,Pemangkat,ID,80.13,overcast clouds,1.17,108.97,Kost H.Syamsuddin
13,Trairi,BR,87.28,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
15,Manggar,ID,81.1,moderate rain,-2.88,108.27,Guest Hotel
20,Bengkulu,ID,76.32,light rain,-3.8,102.27,Grage Hotel Bengkulu
22,San Patricio,US,84.0,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
23,Villamaria,CO,77.0,scattered clouds,5.04,-75.51,Hotel Estelar El Cable
26,Venice,US,88.0,few clouds,27.1,-82.45,A Beach Retreat On Casey Key
31,Touros,BR,86.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
36,Bandarbeyla,SO,79.14,clear sky,9.49,50.81,REER XOOSHLE GROUP
44,Ambon,ID,79.0,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
51,Majene,ID,78.71,moderate rain,-3.54,118.97,Kost Putri RABBANI
53,Victoria,HK,78.01,light rain,22.29,114.16,Mini Hotel Central
56,Kavieng,PG,81.61,moderate rain,-2.57,150.8,Nusa Island Retreat
68,Gat,IL,89.6,scattered clouds,31.61,34.76,OlusHome
77,Mitsamiouli,KM,80.6,scattered clouds,-11.38,43.28,Foyer ADM
78,Acapulco,MX,78.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
85,Hithadhoo,MV,83.3,light rain,-0.6,73.08,Scoop Guest House
86,Caucaia,BR,86.0,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
87,Bubaque,GW,82.2,few clouds,11.28,-15.83,Casa Dora - Mango Lodge
91,Atuona,PF,77.68,clear sky,-9.8,-139.03,Villa Enata
92,Kirakira,SB,78.84,light rain,-10.45,161.92,SanBiz Lodge
93,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
98,Sao Filipe,CV,84.18,clear sky,14.9,-24.5,Tortuga B&B
102,Padang,ID,77.74,moderate rain,-0.95,100.35,Mercure Padang
105,Indija,IN,76.96,overcast clouds,20.0,77.0,kendra kh
109,Cabatuan,PH,76.06,overcast clouds,10.88,122.49,Tobias Hime
118,Butaritari,KI,81.82,broken clouds,3.07,172.79,Isles Sunset Lodge
122,Cuamba,MZ,84.07,broken clouds,-14.8,36.54,Hotel Vision
127,Ko Samui,TH,80.6,light rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
133,Muli,MV,83.28,overcast clouds,2.92,73.57,Medhufushi Island Resort
136,Hambantota,LK,78.8,scattered clouds,6.12,81.12,Bungalow 63
137,Palanpur,IN,83.35,clear sky,24.17,72.43,Hotel Lajwanti
144,Dao,PH,76.53,light rain,11.39,122.69,Dao Plaza & Recreation
145,Batala,IN,77.0,smoke,31.82,75.2,Hotel Metro'z Bal'z
160,Vanimo,PG,79.32,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
162,Bintulu,MY,77.0,light rain,3.17,113.03,900 Boutique INN
163,Nisia Floresta,BR,86.0,broken clouds,-6.09,-35.21,Rancho Crepusculo
164,Faanui,PF,77.63,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
169,Saint-Georges,GD,87.8,broken clouds,12.06,-61.75,Siesta Hotel
177,Weligama,LK,79.39,overcast clouds,5.97,80.42,Weligama Bay Resort
183,South Venice,US,88.0,few clouds,27.05,-82.42,Rodeway Inn
186,Catarama,EC,91.94,scattered clouds,-1.58,-79.47,Hotel Ricaurete
189,Omalur,IN,76.93,heavy intensity rain,11.74,78.05,Hotel Vasantha Bavan
202,Cabo San Lucas,MX,84.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
204,Mogadishu,SO,79.29,few clouds,2.04,45.34,Hotel Juba
207,Keti Bandar,PK,82.8,clear sky,24.14,67.45,Haji laloo memon house
210,Tezu,IN,78.58,clear sky,27.92,96.17,Circuit House
212,Dahra,DZ,86.0,broken clouds,36.25,0.85,Ein Mtabol
214,Caravelas,BR,87.55,few clouds,-17.71,-39.25,Pousada dos Navegantes
218,Tamandare,BR,83.03,scattered clouds,-8.76,-35.1,Pousada 100 Passos
221,Juiz De Fora,BR,78.33,heavy intensity rain,-21.76,-43.35,Constantino Hotel
223,Alpinopolis,BR,91.08,light rain,-20.86,-46.39,Hotel Ventania
224,Harper,LR,79.65,scattered clouds,4.38,-7.72,Screensaver
226,Lodwar,KE,93.61,scattered clouds,3.12,35.6,Turkwel Lodge
227,Kutum,SD,88.3,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
230,Los Llanos De Aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
231,Kudahuvadhoo,MV,83.44,light rain,2.67,72.89,Kudahuvadhoo Retreat
235,Quelimane,MZ,77.0,broken clouds,-17.88,36.89,Hotel Flamingo
236,Loiza,PR,86.0,scattered clouds,18.43,-65.88,Malibu Beachfront
240,Lorengau,PG,81.95,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
242,Mandalgarh,IN,79.23,clear sky,25.2,75.1,दुर्गा टेंट हाऊस
243,Palasa,IN,79.68,few clouds,18.77,84.42,Malla Krishana apartment
246,Jipijapa,EC,78.8,broken clouds,-1.33,-80.58,Los Ceibos Internacional
248,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
254,Candolim,IN,82.4,mist,15.52,73.76,Resort Terra Paraiso
257,Eyl,SO,80.44,clear sky,7.98,49.82,Amiin Hotel
259,Eydhafushi,MV,83.86,overcast clouds,5.1,73.07,Soneva Fushi
281,Morondava,MG,76.64,clear sky,-20.28,44.28,La Case Bambou
283,Siva,EG,87.4,clear sky,29.2,25.52,Qasr Alzaytuna Inn
292,Carlyle,US,77.0,clear sky,38.61,-89.37,Centerstone Inn & Suites - Carlyle
300,Santa Rosa,PH,80.6,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
301,Guaruja,BR,79.0,heavy intensity rain,-23.99,-46.26,Charme Hotel Guarujá
302,Samarai,PG,76.78,broken clouds,-10.62,150.67,Nuli Sapi
305,Condado,CU,84.2,scattered clouds,21.88,-79.84,Casa Guachinango
310,El Playon,CO,77.0,scattered clouds,7.47,-73.2,El playon sder
320,Jibuti,DJ,87.8,clear sky,11.5,42.5,Orchid Main Camp Goubet
321,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
323,Salalah,OM,80.6,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
324,Mecca,SA,87.62,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
329,Ilula,TZ,80.6,few clouds,-7.68,36.04,FM Lodge
338,Mocuba,MZ,77.41,broken clouds,-16.84,36.99,Phama Lodge
347,Port Blair,IN,80.65,light rain,11.67,92.75,Fortune Resort Bay Island
349,Caceres,ES,84.99,overcast clouds,39.52,-6.37,Ahc Hoteles
361,Jalu,LY,83.03,clear sky,29.03,21.55,Jalu Hotel
362,Labuhan,ID,81.01,heavy intensity rain,-6.88,112.21,bador sepret
364,Dhidhdhoo,MV,82.35,scattered clouds,6.88,73.1,Dhidhoo beach
368,Lata,PT,79.0,few clouds,40.16,-8.33,Casa Maquia
372,Safaga,EG,91.4,scattered clouds,26.73,33.94,Lamar Resort Abu Soma
373,Paka,MY,80.6,moderate rain,4.64,103.44,Rumbia Resort Villa Paka Terengganu
374,Paraiso,CR,77.0,light rain,9.84,-83.87,Rinconcito Verde
375,Coatzacoalcos,MX,82.4,broken clouds,18.15,-94.42,Hotel Terraza Del Sol
376,Najran,SA,82.4,clear sky,17.49,44.13,محمد هادي ال فطيح
377,Garissa,KE,88.52,scattered clouds,-0.45,39.64,Sharif Plaza Hotel
384,Auki,SB,77.38,few clouds,-8.77,160.7,Auki Motel
392,Beeville,US,84.99,overcast clouds,28.4,-97.75,Holiday Inn Express & Suites Beeville
394,Tchollire,CM,82.35,clear sky,8.4,14.17,"Auberge ""l'amicale"""
397,Asuncion,PY,82.4,overcast clouds,-25.3,-57.64,Crowne Plaza Asuncion
398,Cayenne,GF,91.4,few clouds,4.93,-52.33,Hôtel Le Dronmi
399,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
400,Porto Novo,BJ,80.6,thunderstorm,6.5,2.6,Tour Eiffel Hotel Benin
403,Olinda,BR,84.2,broken clouds,-8.01,-34.86,Hotel 5 Sóis
404,Praia,CV,87.8,clear sky,14.92,-23.51,LT Aparthotel
405,Sur,OM,79.54,clear sky,22.57,59.53,Sur Plaza Hotel
406,Saurimo,AO,82.4,broken clouds,-9.66,20.39,Hotel Kawissa Saurimo
409,Melbourne,US,88.0,broken clouds,28.08,-80.61,"Hilton Melbourne, FL"
411,Pilar,BR,86.0,scattered clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
417,Sabang,ID,81.16,light rain,5.89,95.32,Hotel Citra
420,Ballarpur,IN,78.24,scattered clouds,19.83,79.35,Central Railway Guest House
421,Sulangan,PH,82.87,moderate rain,11.14,123.72,Maia's Beach Resort
427,Diego De Almagro,CL,88.16,clear sky,-26.37,-70.05,hotel luna del desierto
433,Naze,JP,78.8,overcast clouds,28.37,129.48,奄美ポートタワーホテル
439,Mahibadhoo,MV,82.92,light rain,3.78,72.97,Omadhoo Inn
448,Daniel Flores,CR,79.07,light rain,9.34,-83.67,Hotel San Isidro
449,Conde,BR,86.0,scattered clouds,-7.26,-34.91,Pousada Beija Flor
452,Wamba,NG,83.26,light rain,8.93,8.6,Roma Zee Guest House Annex
457,Marawi,PH,77.0,heavy intensity rain,8.0,124.29,Derogongan Residence
466,Colon,PA,84.2,scattered clouds,9.36,-79.9,Sand Diamond Hotel
467,Hirara,JP,79.38,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
468,Tual,ID,80.92,overcast clouds,-5.67,132.75,Grand Vilia Hotel
472,Arawa,PG,76.77,light rain,-6.21,155.54,Coastline Guest House
473,Soyo,AO,80.6,scattered clouds,-6.13,12.37,Hotel Mpampa
474,Ugoofaaru,MV,83.16,overcast clouds,5.67,73.0,Ungoofaaru Inn
483,Itoman,JP,77.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
484,Guatire,VE,81.0,moderate rain,10.48,-66.54,Parque Residencial Canaima I
486,Rustenburg,ZA,76.42,broken clouds,-25.67,27.24,Rustenburg Boutique Hotel
489,Aborlan,PH,78.8,scattered clouds,9.44,118.55,Kevina Transient House
493,Lethem,GY,88.81,light rain,3.38,-59.8,Savannah Inn
496,Praya,CV,87.8,clear sky,14.92,-23.51,LT Aparthotel
497,San Policarpo,PH,77.97,light rain,12.18,125.51,Zal-Ann Beach Resort
504,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
505,Baghmara,IN,80.42,overcast clouds,23.8,86.21,BCCL Guest House Dumra
507,High Rock,BS,84.2,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
510,Intipuca,SV,82.4,broken clouds,13.2,-88.05,hotel familiar Fco
511,Huescar,ES,78.01,broken clouds,37.81,-2.54,Hotel El Maño
513,Bulawayo,ZW,79.47,broken clouds,-20.15,28.58,4 On Housman Backpackers
516,Ahuimanu,US,78.8,scattered clouds,21.44,-157.84,Paradise Bay Resort
523,Canavieiras,BR,83.5,scattered clouds,-15.68,-38.95,Bahiadomizil
529,Celestun,MX,83.37,broken clouds,20.87,-90.4,Posada Lilia
