City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0,-57.56,60.8,48,40,13.87,scattered clouds
1,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,74.95,46,96,11.3,overcast clouds
2,New Norfolk,AU,-42.78,147.06,53.01,93,100,3.27,light rain
3,Denpasar,ID,-8.65,115.22,80.6,100,40,10.29,light rain
4,Namatanai,PG,-3.67,152.43,80.15,81,100,8.95,moderate rain
5,Hermanus,ZA,-34.42,19.23,60.01,61,58,3.0,broken clouds
6,Emerald,AU,-23.53,148.17,77.0,22,13,11.41,light rain
7,Puerto Ayora,EC,-0.74,-90.35,71.6,78,75,18.34,broken clouds
8,Pemangkat,ID,1.17,108.97,80.13,80,100,6.49,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,55.4,43,40,14.99,scattered clouds
10,Hobart,AU,-42.88,147.33,53.6,93,90,5.82,overcast clouds
11,Alamosa,US,37.47,-105.87,42.8,38,1,1.25,clear sky
12,Bambous Virieux,MU,-20.34,57.76,75.99,83,40,5.82,scattered clouds
13,Trairi,BR,-3.28,-39.27,87.28,55,7,14.0,clear sky
14,Dikson,RU,73.51,80.55,29.89,91,99,7.9,overcast clouds
15,Manggar,ID,-2.88,108.27,81.1,81,100,7.87,moderate rain
16,Mae Sai,TH,20.43,99.88,72.0,94,0,3.36,clear sky
17,Pevek,RU,69.7,170.31,32.81,92,100,20.78,overcast clouds
18,Punta Arenas,CL,-53.15,-70.92,57.2,54,40,32.21,scattered clouds
19,Rikitea,PF,-23.12,-134.97,73.18,77,0,15.66,clear sky
20,Bengkulu,ID,-3.8,102.27,76.32,83,100,3.87,light rain
21,Port Alfred,ZA,-33.59,26.89,63.23,71,39,27.27,scattered clouds
22,San Patricio,US,28.02,-97.52,84.0,78,75,14.99,broken clouds
23,Villamaria,CO,5.04,-75.51,77.0,69,40,9.17,scattered clouds
24,Shebunino,RU,46.43,141.86,50.31,58,88,4.03,overcast clouds
25,Ilave,PE,-16.08,-69.67,58.06,40,12,10.33,few clouds
26,Venice,US,27.1,-82.45,88.0,66,20,13.87,few clouds
27,Namibe,AO,-15.2,12.15,73.4,73,40,14.99,scattered clouds
28,Arraial Do Cabo,BR,-22.97,-42.03,73.4,94,75,6.93,moderate rain
29,Tura,IN,25.52,90.22,75.83,94,2,2.55,clear sky
30,Lebu,CL,-37.62,-73.65,56.43,76,6,11.41,clear sky
31,Touros,BR,-5.2,-35.46,86.0,62,75,13.87,broken clouds
32,Sitka,US,57.05,-135.33,51.8,57,90,17.22,overcast clouds
33,Izumo,JP,35.37,132.77,68.0,82,75,6.93,broken clouds
34,Goshen,US,41.58,-85.83,72.0,52,1,9.17,clear sky
35,Leningradskiy,RU,69.38,178.42,35.51,95,100,8.63,light rain
36,Bandarbeyla,SO,9.49,50.81,79.14,84,7,4.7,clear sky
37,Sao Miguel Do Tapuio,BR,-5.5,-41.32,104.83,19,18,5.01,few clouds
38,Kaitangata,NZ,-46.28,169.85,46.0,87,2,1.99,clear sky
39,Saint-Philippe,RE,-21.36,55.77,75.2,83,75,6.93,broken clouds
40,Qaanaaq,GL,77.48,-69.36,21.04,83,83,6.31,broken clouds
41,Carnarvon,AU,-24.87,113.63,68.0,88,0,20.8,clear sky
42,Vaini,TO,-21.2,-175.2,75.2,88,75,8.05,broken clouds
43,Mataura,NZ,-46.19,168.86,39.99,90,1,2.42,clear sky
44,Ambon,ID,-3.7,128.18,79.0,94,40,8.05,scattered clouds
45,Busselton,AU,-33.65,115.33,48.0,69,100,5.84,overcast clouds
46,Shimanovsk,RU,52.0,127.7,44.4,85,100,9.78,overcast clouds
47,Hervey Bay,AU,-25.3,152.85,71.01,79,30,3.0,scattered clouds
48,Nikolskoye,RU,59.7,30.79,55.99,76,78,6.71,broken clouds
49,Ketchikan,US,55.34,-131.65,46.4,87,90,13.87,light rain
50,Koster,ZA,-25.86,26.9,69.31,50,90,6.62,overcast clouds
51,Majene,ID,-3.54,118.97,78.71,82,100,3.15,moderate rain
52,Bilibino,RU,68.05,166.44,22.46,95,100,3.33,overcast clouds
53,Victoria,HK,22.29,114.16,78.01,76,80,3.0,light rain
54,Barrow,US,71.29,-156.79,30.2,86,90,27.51,light snow
55,Longhua,CN,23.61,114.19,66.65,81,1,2.8,light rain
56,Kavieng,PG,-2.57,150.8,81.61,76,100,4.47,moderate rain
57,Pozo Colorado,PY,-23.49,-58.8,103.42,26,69,5.19,broken clouds
58,Iqaluit,CA,63.75,-68.51,32.0,96,90,13.38,light snow
59,Clyde River,CA,70.47,-68.59,30.2,92,90,17.22,overcast clouds
60,Berezovyy,RU,51.67,135.7,36.82,78,0,3.27,clear sky
61,Torbay,CA,47.67,-52.73,52.0,61,40,32.21,scattered clouds
62,Souillac,MU,-20.52,57.52,75.2,83,40,5.82,scattered clouds
