City_ID,city,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-10-09 05:57:44,-54.8,-68.3,41.0,75,75,5.82
1,Oloron-Sainte-Marie,FR,2020-10-09 05:57:44,43.19,-0.61,59.0,100,90,3.36
2,Chuy,UY,2020-10-09 05:57:45,-33.7,-53.46,47.68,76,17,5.61
3,Cape Town,ZA,2020-10-09 05:56:31,-33.93,18.42,57.99,93,75,14.99
4,Castro,BR,2020-10-09 05:57:46,-24.79,-50.01,61.5,97,98,5.53
5,Mataura,NZ,2020-10-09 05:57:41,-46.19,168.86,57.0,56,0,4.0
6,Bredasdorp,ZA,2020-10-09 05:57:47,-34.53,20.04,53.6,87,99,13.87
7,Vaini,TO,2020-10-09 05:57:41,-21.2,-175.2,78.8,88,40,8.05
8,Jamestown,US,2020-10-09 05:57:40,42.1,-79.24,46.4,75,90,6.93
9,Tahlequah,US,2020-10-09 05:57:47,35.92,-94.97,64.99,93,40,5.79
10,Marawi,PH,2020-10-09 05:57:47,8.0,124.29,84.0,78,82,5.99
11,Vanavara,RU,2020-10-09 05:57:47,60.34,102.28,31.28,85,14,9.71
12,Bajil,YE,2020-10-09 05:57:47,15.06,43.29,89.38,52,0,3.38
13,Sistranda,NO,2020-10-09 05:57:47,63.73,8.83,46.4,100,75,1.12
14,Arraial Do Cabo,BR,2020-10-09 05:57:47,-22.97,-42.03,72.64,94,94,4.03
15,Atuona,PF,2020-10-09 05:57:45,-9.8,-139.03,77.67,78,1,17.72
16,Avarua,CK,2020-10-09 05:57:48,-21.21,-159.78,77.0,88,8,11.41
17,Cherskiy,RU,2020-10-09 05:57:48,68.75,161.3,28.53,94,97,13.0
18,Busselton,AU,2020-10-09 05:57:40,-33.65,115.33,66.0,59,45,3.0
19,Barrow,US,2020-10-09 05:57:48,71.29,-156.79,32.0,93,90,31.09
20,Yeppoon,AU,2020-10-09 05:57:48,-23.13,150.73,91.4,29,0,10.29
21,Kamenka,RU,2020-10-09 05:57:48,51.32,42.77,53.6,37,22,14.97
22,Dikson,RU,2020-10-09 05:57:45,73.51,80.55,32.29,92,93,12.3
23,Butaritari,KI,2020-10-09 05:57:40,3.07,172.79,82.08,75,100,12.64
24,Tuktoyaktuk,CA,2020-10-09 05:57:49,69.45,-133.04,32.0,98,90,8.05
25,Luderitz,NA,2020-10-09 05:57:49,-26.65,15.16,60.39,64,0,23.85
